CHECK_NUM;CHECK_NAME;CHECK_BASE_CD;CHECK_CODE;CHECK_DEPENDENCE_CD;CHECK_BASE_DESC;CHECK_ANALYST_NAME;CHECK_LVL;CHECK_TGT_TABLE;CHECK_SQL_TEXT;CHECK_SQL_TEXT_UAT
;Проверка на наличие бенефициара - ФЛ;Заемщик (ЮЛ);BEN_EXIST;;CLU{FLAG_BASIS_CLIENT = 'Y'};Спирин Артем;1;SCORE_CHECK;select a.u7m_id,'BEN_EXIST' as check_name,2 as check_lvl,1 as check_flg from {{schema_k7m_pa}}.clu a where a.flag_basis_client = 'Y' and not exists ( select 1 from {{schema_k7m_pa}}.lk b join {{schema_k7m_pa}}.lkc c on (b.lk_id = c.lk_id and c.crit_id in ('ben_crm')) join {{schema_k7m_pa}}.clf d on (d.f7m_id = b.u7m_id_from) where b.u7m_id_to = a.u7m_id and b.t_to = 'CLU' and b.t_from = 'CLF' and d.s_name is not null and d.f_name is not null and (d.b_date is not null or (d.id_series is not null and d.id_num is not null) or d.inn is not null));
;Проверка заемщика на наличие ЕИО;Заемщик (ЮЛ);EIO_EXIST;;;Ключко Павел;1;SCORE_CHECK;select c.u7m_id,'EIO_EXIST' as check_name,1 as check_lvl,1 as check_flg from {{schema_k7m_pa}}.clu c left join ( select lk.u7m_id_to, lk.lk_id from {{schema_k7m_pa}}.lk join {{schema_k7m_pa}}.lkc on lk.lk_id = lkc.lk_id and lkc.crit_id = 'EIOGEN_EKS' ) x on c.u7m_id = x.u7m_id_to where c.flag_basis_client = 'Y' and x.lk_id is null;
24;Картотека счета и арест/блокировка счета (возможны по требованию Налоговой службы, ФССП или по решению суда);Заемщик (ЮЛ) Поручители (ЮЛ, ИП);CARTT;;CLU;Постнова Мария;1;CLU_CHECK;select clu.u7m_id, 'CARTT', 1 as check_lvl, chk.cartt_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) ; select clu.u7m_id, 'CARTT', 1 as check_lvl, chk.cartt_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string)
22;Рейтинги;Заемщик (ЮЛ);RATING;;CLU{FLAG_BASIS_CLIENT = 'Y'};Спирин Артем;1;SCORE_CHECK;SELECT a.U7M_ID, 'RATING' as check_name, 1 as check_lvl, CASE WHEN a.RATING_MAIN_PROCESS_OFFLINE > 18 AND ADD_MONTHS(a.RATING_APPR_DT_OFFLINE, 6) >= coalesce(etl.run_dt, cast(current_date as timestamp)) THEN 1 ELSE 0 END as check_flg from {{schema_k7m_pa}}.clu a cross join ( SELECT MAX(run_dt) as run_dt FROM ( Select run_dt, status, row_number() over (partition by exec_id order by insert_dt desc) rn from {{schema_k7m_aux}}.etl_exec_stts) x where rn = 1 and status = 'RUNNING') etl where a.flag_basis_client = 'Y';
КОД;ФИО ЕИО Заёмщика и Поручителя;Заемщик (ЮЛ) Поручители (ЮЛ);COD_EIO_NAME;;CLU, CLF;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id,'COD_EIO_NAME' as check_name,1 as check_lvl ,case when name_eio rlike '^[А-ЯЁа-яё /\"]+$' then 0  when length(s_name) < 3 then 1  when length(f_name) < 2 then 1  when length(l_name) < 2 then 1  else 1 end as check_flg from (select clu.u7m_id, clu.crm_id, clu.flag_basis_client, clf_eio.f_name, clf_eio.s_name, clf_eio.l_name,  concat(clf_eio.f_name, clf_eio.s_name, clf_eio.l_name) AS name_eio FROM {{schema_k7m_pa}}.clu clu JOIN {{schema_k7m_pa}}.lk lk_eio ON clu.u7m_id = lk_eio.u7m_id_to and lk_eio.t_to = 'CLU' and lk_eio.t_from = 'CLF' JOIN {{schema_k7m_pa}}.clf clf_eio ON lk_eio.u7m_id_from = clf_eio.f7m_id JOIN {{schema_k7m_pa}}.lkc lkc_eio ON lk_eio.lk_id = lkc_eio.lk_id and upper(lkc_eio.crit_id) IN ( 'EIOGEN', 'EIOGEN_EKS')) CLU;
КОД;Должность ЕИО Заёмщика и Поручителя;Заемщик (ЮЛ) Поручители (ЮЛ);COD_EIO_POSITION;;CLU, CLF;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id,'COD_EIO_POSITION' as check_name,1 as check_lvl,case when Position_eio rlike '^[А-ЯЁа-яё /\"]+$' then 0 else 1 end as check_flg from (select clu.u7m_id,clu.crm_id,clu.flag_basis_client, clf_eio.Position_eio FROM {{schema_k7m_pa}}.clu clu JOIN {{schema_k7m_pa}}.lk lk_eio ON clu.u7m_id = lk_eio.u7m_id_to and lk_eio.t_to = 'CLU' and lk_eio.t_from = 'CLF' JOIN {{schema_k7m_pa}}.clf clf_eio ON lk_eio.u7m_id_from = clf_eio.f7m_id JOIN {{schema_k7m_pa}}.lkc lkc_eio ON lk_eio.lk_id = lkc_eio.lk_id and upper(lkc_eio.crit_id) IN ('EIOGEN','EIOGEN_EKS')) CLU ; select CLU.u7m_id,'COD_EIO_POSITION' as check_name,1 as check_lvl, case when Position_eio rlike '^[А-ЯЁа-яё /\"]+$' then 0 else 1 end as check_flg from (select clu.u7m_id, clu.crm_id, clu.flag_basis_client, clf_eio.Position_eio FROM {{schema_k7m_pa}}.clu clu JOIN {{schema_k7m_pa}}.lk lk_eio ON clu.u7m_id = lk_eio.u7m_id_to and lk_eio.t_to = 'CLU' and lk_eio.t_from = 'CLF' JOIN {{schema_k7m_pa}}.clf clf_eio ON lk_eio.u7m_id_from = clf_eio.f7m_id JOIN {{schema_k7m_pa}}.lkc lkc_eio ON lk_eio.lk_id = lkc_eio.lk_id and upper(lkc_eio.crit_id) IN ( 'EIOGEN', 'EIOGEN_EKS')) CLU
КОД;Имя Поручителя ФЛ;Заемщик (ЮЛ) Поручители (ЮЛ);COD_F_NAME;;CLF;Амелин Сергей;1;CLF_CHECK;select CLF.f7m_id , 'COD_F_NAME' as check_name, 1 as check_lvl, case when clf.f_name rlike '^[А-ЯЁа-яё ]+$' and length(clf.f_name) > 1 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf ;select CLF.f7m_id , 'COD_F_NAME' as check_name, 1 as check_lvl, case when clf.f_name rlike '^[А-ЯЁа-яё ]+$' and length(clf.f_name) > 1 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf
КОД;Полное наименование Заемщика;Заемщик (ЮЛ) Поручители (ЮЛ);COD_FULL_NAME;;CLU;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id ,'COD_FULL_NAME' as check_name,1 as check_lvl,case when CLU.full_name = '' or CLU.full_name rlike '^[А-ЯЁа-яё0-9 /\"-]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU;select CLU.u7m_id ,'COD_FULL_NAME' as check_name,1 as check_lvl,case when CLU.full_name = '' or CLU.full_name rlike '^[А-ЯЁа-яё0-9 /\"-]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU
КОД;Номер Поручителя ФЛ;Заемщик (ЮЛ) Поручители (ЮЛ);COD_ID_NUM;;CLF;Амелин Сергей;1;CLF_CHECK; select CLF.f7m_id,'COD_ID_NUM' as check_name ,1 as check_lvl ,case when clf.ID_NUM rlike '^[0-9]+$' and length(clf.ID_NUM) = 6 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf;
КОД;Серия Поручителя ФЛ;Заемщик (ЮЛ) Поручители (ЮЛ);COD_ID_SERIES;;CLF;Амелин Сергей;1;CLF_CHECK; select CLF.f7m_id ,'COD_ID_SERIES' as check_name ,1 as check_lvl ,case when clf.ID_SERIES rlike '[0-9][0-9][ ][0-9][0-9]' or clf.ID_SERIES rlike '[0-9][0-9][0-9][0-9]' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf;
