CODE;NM;CRM ID;country;Group;GUID
1;Agrokor d.d. (Agrokor Group);1-1ZHIAXC;Croatia;Agrokor;
2;Konzum d.d. Croatia (Agrokor Group);1-HLGZ89S;Croatia;Agrokor;
3;M CENTAR Group d.o.o., Serbia (Agrokor Group);-;Serbia;Agrokor;
4;Mercator S, Serbia (Agrokor Group);-;Serbia;Agrokor;
5;Frikom d.o.o., Serbia (Agrokor Group);1-HLI5MRR;Serbia;Agrokor;
6;Super kartica d.o.o., Serbia (Agrokor Group);-;Serbia;Agrokor;
7;Mercator d.d.,Slovenia (Agrokor Group);1-HLGZ8EB;Slovenia;Agrokor;
8;Konzum d.o.o. Bosnia and Herzegovina (Agrokor Group);1-HLGZ8J5;Bosnia and Herzegovina;Agrokor;
9;Dijamant a.d.  (Agrokor Group);1-HLGZ8HI;Slovenia;Agrokor;
10;OJSC Belaruskali;1-941KDZ;Belarus;;
11;Signa Prime Selection ;-;Austria;Signa;
12;Signa International Sports ;1-E67KL6X;Austria;Signa;
13;Slovenske Elektrarne;1-1VK4C27;Slovenia;ENEL;
14;TMK Gulf International Pipe Industry LLC;-;Oman;ТМК;
15;TMK Europe GMBH;-;Germany;ТМК;
16;DILON d.o.o.;-;Siovenia;Кокс;
17;SIJ d.d.;-;Slovenia;Кокс;
18;Perutnina Ptui;-;Slovenia;Кокс;
19;Acroni;-;Slovenia;Кокс;
20;PJSC Uralkali;1-HQHF;Russia;Uralkali;
21;KAMAZ financial services GMBH;-;Germany;КАМАZ;
22;ASE Engineering;-;Serbia;Atomenergoprom;
23;Safina a.s.;1-D8Z8154;Czech republic;Renova;
24;Gefco s.a.;1-1KTJSJN;Czech republic;RZD;
25;Panrusgaz;-;Hungry;Gazprom;
26;NIS a.d. Novi Sad;1-4GSD21C;Serbia;Gazprom;
27;SUEK AG;1-229FP5Y;Switzerland;Melnichenko Group;
28;OJSC Kuibyshevazot;1-AGMX;Russia;Kuibyshevazot;
29;OJSC MMC Norilsk Nickel;1-KN8F;Russia;Norilsk Nickel;
30;OPTIMA Group LLC;-;Banja Luka;Zarubezneft;
31;Ros-GIP;1-1XR47QQ;Ireland;Rosneft;
32;Ros-VIT;1-1XR7C5I;Ireland;Rosneft;
33;LLC Technoserv Group;-;Russia;Technoserv;
34;Sembol Uluslararasi Yatirim Tarim Peyzaj ?n?aat Sanayi Ve Tic. A.?. ;1-2GDTJ16;Turkey;Sembol;
35; F?ne Otel Turizm ??letmecilik A.?.;-;Turkey;Rixos;
36;Ekopark Turizm ?n?aat San. Ve Tic.A.?.  ;-;Turkey;Rixos;
37; Eko Temal? Parklar Turizm I?letmeleri A.?.;-;Turkey;Rixos;
38;Desna;-;Turkey;Ronesans;
39;Renaissance Construction Turkey ;-;Turkey;Ronesans;
40;Desna Development;1-T3ZAJ;Russia;Ronesans;
41;Desna Capital;1-1N270IY;Russia;Ronesans;
42;Desna Invesment;1-1H0MMT;Russia;Ronesans;
43;KILYOS I.SV.T.;1-1PJZ8SL;Russia;Ronesans;
44;Merkator;1-AR2TWF;Russia;Ronesans;
45;PANGALTY I.S.V.T.;1-1XCW55J;Russia;Ronesans;
46;PVS Consulting;1-DR1J5QS;Russia;Ronesans;
47;Renaissance Construction;1-AU3GCI;Russia;Ronesans;
48;Renaissance Construction;1-CUQX;Russia;Ronesans;
49;Renaissance Construction;1-D8P6;Russia;Ronesans;
50;Renaissance Construction;1-JNSJ;Russia;Ronesans;
51;Renaissance Construction Project;1-6AYB3R3;Russia;Ronesans;
52;Renaissance Heavy Industries;1-1N1A4NS;Russia;Ronesans;
53;Renstroidetal;1-1NXFDT2;Russia;Ronesans;
54;Rialren;1-171ITME;Russia;Ronesans;
55;Renaissance Construction;1-KJHS;Russia;Ronesans;
56;Renaissance Industry T.I.S.V.T.;1-G9SO7TS;Russia;Ronesans;
57;ST Towers;1-1L61MQD;Russia;Ronesans;
58;Energo-Stroi;1-D8TN;Russia;Ronesans;
59;Renaissance Construction and Investment;1-1EVR94A;Russia;Ronesans;
60;Roseland;1-226BH3Q;Russia;Ronesans;
61;Renaissance Logistic;1-2266URR;Russia;Ronesans;
62;Desna Neva;1-1J51C37;Russia;Ronesans;
63;Desna Moskovskiy;1-1J6R6CN;Russia;Ronesans;
64;Boreas I.S.V.T.;1-212CZ43;Turkey;Ronesans;
65;Polenes I.S.V.T.;1-212BGYH;Turkey;Ronesans;
66;Draman I.S.V.T.;1-244AO6G;Turkey;Ronesans;
67;Kabakum I.S.V.T.;1-9YL0YUD;Turkey;Ronesans;
68;Palanga I.S.V.T.;1-6537L0I;Turkey;Ronesans;
69;RiverLand;7802724032;Russia;Ronesans;
70;Electra Stroi Heavy Industries;1-1AKJVI9;Russia;Ronesans;
71;Renaissance Construction Voronezh;1-EDNYP7;Russia;Ronesans;
72;Siren Consulting;1-6XIGN8V;Russia;Ronesans;
