code;nm;crmorgunitid;k7m_flag;start_date;end_date;guid;tmp
Байкальский банк;NULL;1-1GR8;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Ангарское отделение;1-7KLMCI;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Братское отделение;1-7KLM9U;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Бурятское отделение № 8601;1-7KLME3;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Иркутское отделение № 8586;1-7KLM99;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Читинское отделение № 8600;1-7KLM9I;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Байкальский банк;Якутское отделение № 8603;1-7KLN90;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;null;1-1HMV;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Банк Татарстан отделение №8610;1-7KLQR3;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Березниковское отделение;1-7KLH60;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Владимирское отделение №8611;1-7KLQPC;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Восточное отделение №1016;1-1TO00A7;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;ГО по Нижегородской области;1-PPG1WR;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Дзержинское отделение;1-1ZPBCDU;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Кировское отделение №8612;1-7KLPGL;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Марий Эл отделение №8614;1-7KLPCC;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Мордовское отделение №8589;1-7KLPER;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Набережно-Челнинское отделение;1-203E53Q;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Пермское отделение № 6984;1-KHRTYJ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Удмуртское отделение 8618;1-7KLH66;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Чайковское отделение;1-7KLH4R;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Волго-Вятский банк;Чувашское отделение №8613;1-7KLPIL;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;null;1-6L12;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Биробиджанское ГОСБ № 4157;1-7KLN0Q;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Благовещенское ГОСБ № 8636;1-7KLMX2;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Камчатское ГОСБ № 8556;1-7KLN7U;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Находкинское отделение № 7151;1-7KLMZQ;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Приморское ГОСБ № 8635;1-7KLN15;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Северо-Восточное ГОСБ № 8645;1-2GVQ3E0;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Хабаровское ГОСБ № 9070;1-MDNDZ5;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Центральное отделение № 4205;1-7KLN3W;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Южно-Сахалинское ГОСБ № 8567;1-7KLMYH;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Дальневосточный банк;Чукотское отделение №1009 (№8557);1-29BA944;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;null;1-6L1B;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Новоуренгойское ГОСБ № 8369;1-7KLMPM;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
Западно-Сибирский банк;Омское ГОСБ № 8634;1-7KLMKD;1;1900-01-01 00:00:00.0;9999-12-31 00:00:00.0;NULL;NULL
