Node;Scheme_LD;Scheme_OD;Table;Field;Type_LD;Type_OD;Validation_LD;Where_LD;Validation_OD;Where_OD;Comment;PrimaryKey
zero_layer;core_internal_eks;internal_eks_ibs;z_client;id;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;Y
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_kpp;string;string;row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_inn;string;string;row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;class_id;string;string;row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_name;string;string;row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_country;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_depart;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_inspect  ;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_crm_segment ;string;string;row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_welf_hist;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_filial;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_addresses;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_client;c_contacts;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;
zero_layer;core_internal_eks;internal_eks_ibs;z_pr_cred;id;string;decimal(38,12);row_number() over (partition by id  order by ods_validfrom desc) as rn;ods_opc <> 'D';;ctl_action <> 'D';;Y
