nn;nm;vid;ob;up
11;гашение платы за несвоеврем.исполнение обяз-в по дог.поручительства;Не используется;0;U
3;перенос просроч. платы за неполное исп-е обяз-в в части объема обеспечения в присужденую к получению;Не используется;0;?
54;импорт: увеличение учтенных процентов;Начисление;Проценты;U
1;гашение просроченной платы за неполное исполнение условий (страх.);Гашение;Комиссия;?
1;возврат излишне выплаченных процентов;Не используется;0;U
1;гашение неустойки за пр. плату за ведение с/с, признанной в дату реструктуризации;Гашение;Пени;?
19;признание неучтенной неустойки по пр.процентам в дату реструктуризации;Не используется;0;?
727;присуждение просроченной задолж. по проц. на внебалансе;Не используется;0;?
3;начисление неустойки за просрочку по плате за необеспечение;Не используется;0;?
1;неустойка от первоначальной суммы;Не используется;0;?
1;гашение пр. суммы договора;Гашение;Основной долг;?
332;учет неустойки за просрочку платы за обслуживание кредита присужденной к получению;Не используется;0;?
1;взыскание по гарантии;Гашение;Основной долг;?
1067;перенос досрочно уплаченной платы за ведение ссудного счета со счета 47422.99 на доходы;Не используется;0;?
7;+плата за выдачу кредита/открытие кредитной линии_сев;Не используется;0;?
656;учет неустойки по процентам присужденной к получению;Не используется;0;?
1;списание неуст. за пр.кредит, признанной в дату реструктуризации;Списание;Пени;?
1665;доучет при выносе (внебаланс);Не используется;0;?
82473;открытие кредитной линии;Не используется;0;?
796;+плата за ведение ссудного счета;Не используется;0;?
1;.гашение процентов;Гашение;Проценты;?
12;уменьшение резерва по просрочке;Не используется;0;?
1;гашение зафиксированной в дату реструктуризации просроченной платы за использование лимита;Гашение;Комиссия;?
49;списание процентов на в/б, присужденных к получению, за счет резерва;Списание;Проценты;?
5;возврат излишне уплаченных процентов;Не используется;0;?
1;уплата пени за неуплаченную в срок комиссию;Гашение;Пени;?
67595;выборка средств;Не используется;0;?
1;гашение учтенных на внб. процентов по договору;Гашение;Проценты;?
2;квитовка. гашение присужденных расходов на третейский сбор;Не используется;0;?
1;возврат излишне причисленных процентов;Не используется;0;U
16;вынос учтенных отложенных процентов в фикс. суммах на просрочку;Не используется;0;?
1;гашение просроченной задолженности по процентам на просроч. кредит (112);Гашение;Проценты;?
2;коми. не использовать. плата за резервирование;Не используется;0;U
1268;присуждение просроченной ссудной задолженности;Не используется;0;?
4;-плата за невыполнение условий;Не используется;0;?
2;продажа. списание пеней за проценты (присужденных);Не используется;0;?
1;гашение неучтенной просроченной платы за резервирование кюл;Гашение;Комиссия;?
1;гашение отложенных процентов в фикс. суммах;Гашение;Проценты;?
1;гашение учтенная плата за резервирование ресурса;Гашение;Комиссия;?
21;ндс;Не используется;0;?
1;-зафиксированная в дату реструктуризации просроченная плата за обслуживание кредита;Не используется;0;?
7;перенос срочные процентов на внебалансе в проценты на внебалансе, перенесенные из просроченных;Не используется;0;?
1;гашение присужденных просроченных процентов за просроченный кредит 112 на внебалансе;Гашение;Проценты;?
810;-просроченная задолж. по проц. на внебалансе;Не используется;0;?
541;учет отложенных процентов на внебалансе;Не используется;0;?
294;списание просроченной платы за обслуживание кредита за счет резерва;Списание;Комиссия;?
440;учет плата за ведение ссудного счета;Не используется;0;?
142;перенос просроченной ссудной задолженности в присужденную к получению;Не используется;0;?
29;перенос неустойки, присужденной к получению, в другой договор при переводе долга;Не используется;0;?
1;гашение просроч. платы за неполн.исполн.усл.кр.дог;Гашение;Комиссия;?
1;гашение учтенной платы за обслуживание кредита (фиксированная сумма);Гашение;Комиссия;?
1;гашение неустойки за непредоставленные вовремя документы;Гашение;Пени;?
130;-плата за использование лимита;Не используется;0;?
6;импорт. уменьшение учтенных на внебалансе процентов;Не используется;0;?
253;вынос на просрочку платы за обслуживание кредита (в абсолютном выражении);Не используется;0;?
1;гашение перенесенной в срочную просроченной платы за использование лимита;Гашение;Комиссия;?
1;уплата процентов по не взысканной сумме;Гашение;Проценты;?
100;плата за резервирование;Гашение;Комиссия;?
944894;списание договора обеспечения с внебаланса;Не используется;0;?
101;плата за предоставление кредита;Гашение;Комиссия;?
6;продажа. списание основного долга на в/б, списанного за счет резерва;Не используется;0;?
187;присуждение неустойки по плате за ведение ссудного счета;Не используется;0;?
10142;гашение просроченной платы за обслуживание кредита;Гашение;Комиссия;?
14;требование по уплате судебных издержек;Не используется;0;?
1;+проценты за просроченный кредит(112)  учтенные на балансе;Не используется;0;?
118;импорт: уменьшение просроч. процентов;Не используется;0;?
3705;присуждение госпошлины;Не используется;0;?
559092;списание лимита;Не используется;0;?
1020188;гашение учтенных процентов;Гашение;Проценты;?
8;перенос платы за обслуживание кредита из другого договора при переводе долга;Не используется;0;?
2;присуждение неустойки за просрочку платы за неполное исполнение обязательств в части объема обеспече;Не используется;0;?
21;резерв на момент отчуждения задолженности;Не используется;0;?
10511;гашение пени за ведение ссудного счета;Гашение;Пени;?
254;иаск. квитовка платы за использование лимита;Не используется;0;?
294;+неустойка за просрочку платы за ведение ссудного счета;Не используется;0;?
1053;гашение присужденных пени за проценты;Гашение;Пени;?
4;+учтенные отложенные проценты_иаск;Начисление;Проценты;U
44;вынос учтенных на внебалансе отложенных процентов в фикс. суммах на просрочку;Не используется;0;?
1095;плата за неисполнение условий договора;Гашение;Комиссия;?
1290;+просроченная ссудная задолженность;Не используется;0;?
4;-проценты за просроченный кредит(112)  учтенные на внебалансе;Не используется;0;?
8;штраф за нарушение условий договора обеспечения;Не используется;0;?
14;списание просроченной платы за обслуживание кредита за счет резерва (в абсолютном выражении);Списание;Комиссия;?
11;гашение просроченной платы за резервирование ресурсов (периодической);Гашение;Комиссия;?
28;иаск. квитовка гашения платы за резервирование кюл;Не используется;0;?
1;вынос на просрочку платы за резервирование кюл без учета;Не используется;0;?
11;гашение присужденной неустойки по плате за использование лимита;Гашение;Пени;?
47;импорт: увеличение сроч. процентов на внеб.;Начисление;Проценты;U
22;перенос просроч. процентов на в/б из другого договора при переводе долга;Не используется;0;?
11;гашение учтенная плата за использование лимита;Гашение;Комиссия;?
11;гашение пени за неполное исполнение условий (страх.);Гашение;Пени;?
2;вынос неучтенных процентов на внеб.;Не используется;0;U
110;возмещение - гашение учтенных на внебалансе процентов (юр.лица);Гашение;Проценты;?
7;учёт неуст. за пр.проценты в дату реструктуризации;Не используется;0;?
110;гашение кредита за счет досрочно уплаченных процентов и комиссий;Гашение;Основной долг;?
3;агентское вознаграждение;Не используется;0;U
111;плата за неполное исполнение условий (страх.);Гашение;Комиссия;?
7;перенос основного долга в другой договор при изменении валюты кредита;Не используется;0;?
116;гашение госпошлины;Гашение;Госпошлина;?
46;+пени за проценты (присужденные)_иаск;Не используется;0;?
1;перенос платы за пользование лимитом из другого договора при переводе долга;Не используется;0;?
2005;перенос просроченных процентов на тек.счета (в/б);Не используется;0;?
1;начисление неустойки по плате за рассмотрение кредитной заявки;Не используется;0;U
121;гашение присужденной просроченной задолженности по процентам;Гашение;Проценты;?
1;продажа. списание ссудной задолженности;Списание;Основной долг;U
1;восстановление лимита межбанк;Не используется;0;U
3;уменьшение суммы к погашению на величину невыбранного лимита;Не используется;0;?
13;гашение неучтенной просроченной платы за ведение ссудного счета;Гашение;Комиссия;?
1;учет процентов по кредиту в дату реструктуризации;Не используется;0;?
1;фиксация срочных процентов на внебалансе на дату реструктуризации;Не используется;0;?
72;присуждение неустойки по плате за использование лимита;Не используется;0;?
9;гашение процентов за пр кредит(112);Не используется;0;U
130;гашение платы за реструктуризацию;Гашение;Комиссия;?
1317;-учтенные проценты за кредит;Гашение;Проценты;U
9;признание неучтенной неустойки по кредиту в дату реструктуризации;Не используется;0;?
50089;вынос срочных процентов на внебалансе;Не используется;0;?
1;плата за резервир ресурса по кред договору;Не используется;0;U
316;импорт: уменьшение пени по проц;Не используется;0;?
1576;+задолженность по пене за проценты;Не используется;0;?
671;присуждение расходов на третейский сбор;Не используется;0;?
21;иаск. квитовка платы за обслуживанию кредита (фиксир. сумма);Не используется;0;?
12;учет процентов по договору на внебалансе;Начисление;Проценты;U
15;перенос учтенных процентов на в/б из другого договора при переводе долга;Не используется;0;?
133;гашение перенесенной в срочную просроченной платы за обслуживание кредита;Гашение;Комиссия;?
33;начисление неустойки за неисполнение обязательств по страхованию;Не используется;0;?
1798;+задолженность по пене за кредит;Не используется;0;?
257;перенос просроченных процентов на текущие счета;Не используется;0;?
47;импорт. увеличение пени по процентам;Не используется;0;?
156;+плата за резервирование ресурса;Не используется;0;?
1;учет процентов по гарантии на внебалансе;Не используется;0;?
1;вынос срочных процентов на внеб.;Не используется;0;?
8;продажа. списание пени по процентам;Не используется;0;?
13412;гашение платы за открытый лимит;Гашение;Комиссия;?
20251;восстановление сол;Не используется;0;?
2;+плата за необеспечение;Не используется;0;?
1;списание просроченной платы за резервирование ресурсов за счет резерва;Списание;Комиссия;?
135865;плата за обслуживание кредита;Гашение;Комиссия;?
7;увеличение резерва по просрочке;Не используется;0;?
2531;присуждение пени за кредит;Не используется;0;?
1;+зафиксированная в дату реструктуризации просроченная плата за обслуживание кредита;Не используется;0;U
138;гашение учтенных отложенных процентов в фикс. суммах;Гашение;Проценты;?
2;резервирование;Не используется;0;U
14;гашение просроченной платы за резервирование ресурсов присужденной к получению;Гашение;Комиссия;?
14;плата за внесение изменений в кред. документацию;Гашение;Комиссия;?
