regime_prod;N;use
0000 Задолженность, приравненная к ссудной - договор уступки прав (цессия) с отсрочкой платежа;NULL;исключить
;20;исключить
0000 Задолженность, приравненная к ссудной - кредитный договор;NULL;исключить
;50;исключить
0000 Задолженность, приравненная к ссудной - невозобновляемая кр линия;NULL;исключить
;5;исключить
1104 Возобновляемый кредит;546;исключить
1104 Единовременный кредит;22;исключить
1104 Кредит на неотложные нужды;256;исключить
1104 Кредит на неотложные нужды (НКЛ);2;исключить
1188_ВКЛ_Коммерческое кредитования;14;исключить
1221-р - Кредитный договор;201;исключить
1221-р Возобновляемая кредитная линия;741;исключить
1221-р Невозобновляемая кредитная линия;272;исключить
1221/Авто - Возобновляемая кредитная линия;1;исключить
1221/Авто - Кредитная линия с графиком выборки/отлаг.условия;1;исключить
1221/Авто - Кредитный договор;222;исключить
1221/Авто - Невозобновляемая кредитная линия;188;исключить
1221/Актив - Возобновляемая кредитная линия;11;исключить
1221/Актив - Кредитный договор;65;исключить
1221/Актив - Невозобновляемая кредитная линия;82;исключить
1221/Аренда - Возобновляемая кредитная линия;1;исключить
1221/Аренда - Кредитный договор;13;исключить
1221/Аренда - Невозобновляемая кредитная линия;36;исключить
1221/Аренда - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;1;исключить
1221/ГАЗ - Кредитный договор;1;исключить
1221/Госзаказ - Кредитный договор;5;исключить
1221/Госзаказ - Невозобновляемая кредитная линия;12;исключить
1221/Доверие - Кредитный договор;209;исключить
1221/Инвест - Возобновляемая крелитная линия;1;исключить
1221/Инвест - Кредитный договор;312;исключить
1221/Инвест - Невозобновляемая кредитная линия;394;исключить
1221/Инвест - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;11;исключить
1221/Недвижимость - Возобновляемая кредитная линия;2;исключить
1221/Недвижимость - Кредитный договор;13;исключить
1221/Недвижимость - Невозобновляемая кредитная линия;28;исключить
1221/Недвижимость - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;1;исключить
1221/Оборот - Возобновляемая кредитная линия;498;исключить
1221/Оборот - Кредитный договор;456;исключить
1221/Оборот - Невозобновляемая кредитная линия;893;исключить
1221/Оборот - Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;12;исключить
1221/Оборот- Невозобновляемая кредитная линия;1279;исключить
1221/Рента - Кредитная линия;3;исключить
1221/Рента - Кредитный договор;2;исключить
1234-р Займ в драгоценном металле;79;исключить
1296-р Невозобновляемая кредитная линия под залог будущего урожая;4;исключить
1397-р Возобновляемая кредитная линия для торговых сетей;84;исключить
1404-р Невозобновляемая кредитная линия по жилищному строительству;62;исключить
1413-р Невозобновляемая кредитная линия - финансирование за счет зарубежных банков;1;исключить
1464-р Кредит для девелоперской деятельности;1;исключить
1464-р Невозобновляемая кредитная линия для девелоперской деятельности;42;исключить
1469-р Кредит под залог коммерческой недвижимости;15;исключить
1469-р Невозобновляемая кредитная линия под залог коммерческой недвижимости;35;исключить
1490 Контрактное кредитование предприятий ОПК - возобновляемая кр линия;1;исключить
1490 Контрактное кредитование предприятий ОПК - кредитный договор;2;исключить
1490 Контрактное кредитование предприятий ОПК - невозобновляемая кр линия;28;исключить
1514-р Кредит на финансирование розничного лизинга;168;исключить
1514-р Кредитная линия на финансирование розничного лизинга;400;исключить
1514-р Невозобновляемая кредитная линия с графиком выборки/отлаг.условия;1;исключить
