BO_ID;FEATURE_ID;MIN;MAX;categorial
0;DUR;6.0;12.0;
0;EXP;0.0;0.01;
0;AVP;0.0;0.01;
0;PRIV;0.0;0.25;
0;BALLOON;0.0;0.25;
0;PD;0.0;0.0048;
0;LGD;0;1;
0;CURRENCY;;;RUR
0;PRODUCT;;;1-M813EC
0;CREDIT_MODE;;;Credit Contract
0;CREDIT_INSTRUMENT;;;Credit
0;TARGET_GR;;;01
501;DUR;12.0;18.0;
501;EXP;0.13;0.14;
501;AVP;0.0;0.01;
501;PRIV;0.25;0.5;
501;BALLOON;0.25;0.5;
501;PD;0.0048;0.0091;
501;LGD;0;1;
501;CURRENCY;;;RUR
501;PRODUCT;;;1-M813EC
501;CREDIT_MODE;;;Credit Contract
501;CREDIT_INSTRUMENT;;;Credit
501;TARGET_GR;;;01
502;DUR;12.0;18.0;
502;EXP;0.08;0.09;
502;AVP;0.0;0.01;
502;PRIV;0.5;0.75;
502;BALLOON;0.5;0.75;
502;PD;0.0048;0.0091;
502;LGD;0;1;
502;CURRENCY;;;RUR
502;PRODUCT;;;1-M813EC
502;CREDIT_MODE;;;Credit Contract
502;CREDIT_INSTRUMENT;;;Credit
502;TARGET_GR;;;01
503;DUR;12.0;18.0;
503;EXP;0.1;0.11;
503;AVP;0.0;0.01;
503;PRIV;0.75;1.0;
503;BALLOON;0.75;1.0;
503;PD;0.0;0.0048;
503;LGD;0;1;
503;CURRENCY;;;RUR
503;PRODUCT;;;1-M813EC
503;CREDIT_MODE;;;Credit Contract
503;CREDIT_INSTRUMENT;;;Credit
503;TARGET_GR;;;01
505;DUR;12.0;18.0;
505;EXP;0.08;0.09;
505;AVP;0.0;0.01;
505;PRIV;0.25;0.5;
505;BALLOON;0.25;0.5;
505;PD;0.0091;0.01725;
505;LGD;0;1;
505;CURRENCY;;;RUR
505;PRODUCT;;;1-M813EC
505;CREDIT_MODE;;;Credit Contract
505;CREDIT_INSTRUMENT;;;Credit
505;TARGET_GR;;;01
506;DUR;12.0;18.0;
506;EXP;0.18;0.19;
506;AVP;0.0;0.01;
506;PRIV;0.0;0.25;
506;BALLOON;0.0;0.25;
506;PD;0.0048;0.0091;
506;LGD;0;1;
506;CURRENCY;;;RUR
506;PRODUCT;;;1-M813EC
506;CREDIT_MODE;;;Credit Contract
506;CREDIT_INSTRUMENT;;;Credit
506;TARGET_GR;;;01
507;DUR;12.0;18.0;
507;EXP;0.14;0.15;
507;AVP;0.0;0.01;
507;PRIV;0.0;0.25;
507;BALLOON;0.0;0.25;
507;PD;0.0091;0.01725;
507;LGD;0;1;
507;CURRENCY;;;RUR
507;PRODUCT;;;1-M813EC
507;CREDIT_MODE;;;Credit Contract
507;CREDIT_INSTRUMENT;;;Credit
507;TARGET_GR;;;01
508;DUR;12.0;18.0;
508;EXP;0.09;0.1;
508;AVP;0.0;0.01;
508;PRIV;0.5;0.75;
508;BALLOON;0.5;0.75;
508;PD;0.0048;0.0091;
508;LGD;0;1;
508;CURRENCY;;;RUR
508;PRODUCT;;;1-M813EC
508;CREDIT_MODE;;;Credit Contract
508;CREDIT_INSTRUMENT;;;Credit
508;TARGET_GR;;;01
510;DUR;12.0;18.0;
510;EXP;0.04;0.05;
510;AVP;0.0;0.01;
510;PRIV;0.75;1.0;
510;BALLOON;0.75;1.0;
510;PD;0.0048;0.0091;
510;LGD;0;1;
510;CURRENCY;;;RUR
510;PRODUCT;;;1-M813EC
510;CREDIT_MODE;;;Credit Contract
510;CREDIT_INSTRUMENT;;;Credit
510;TARGET_GR;;;01
512;DUR;12.0;18.0;
512;EXP;0.11;0.12;
512;AVP;0.0;0.01;
512;PRIV;0.75;1.0;
512;BALLOON;0.75;1.0;
512;PD;0.0;0.0048;
512;LGD;0;1;
512;CURRENCY;;;RUR
512;PRODUCT;;;1-M813EC
512;CREDIT_MODE;;;Credit Contract
512;CREDIT_INSTRUMENT;;;Credit
512;TARGET_GR;;;01
513;DUR;12.0;18.0;
513;EXP;0.15;0.16;
513;AVP;0.0;0.01;
513;PRIV;0.5;0.75;
513;BALLOON;0.5;0.75;
513;PD;0.0;0.0048;
513;LGD;0;1;
513;CURRENCY;;;RUR
513;PRODUCT;;;1-M813EC
513;CREDIT_MODE;;;Credit Contract
513;CREDIT_INSTRUMENT;;;Credit
513;TARGET_GR;;;01
514;DUR;12.0;18.0;
514;EXP;0.09;0.1;
514;AVP;0.0;0.01;
514;PRIV;0.25;0.5;
514;BALLOON;0.25;0.5;
514;PD;0.0091;0.01725;
514;LGD;0;1;
514;CURRENCY;;;RUR
514;PRODUCT;;;1-M813EC
514;CREDIT_MODE;;;Credit Contract
514;CREDIT_INSTRUMENT;;;Credit
514;TARGET_GR;;;01
515;DUR;12.0;18.0;
515;EXP;0.19;0.2;
515;AVP;0.0;0.01;
515;PRIV;0.0;0.25;
515;BALLOON;0.0;0.25;
515;PD;0.0048;0.0091;
515;LGD;0;1;
515;CURRENCY;;;RUR
515;PRODUCT;;;1-M813EC
515;CREDIT_MODE;;;Credit Contract
515;CREDIT_INSTRUMENT;;;Credit
515;TARGET_GR;;;01
517;DUR;12.0;18.0;
